Island,lon,lat
OUFI,-157.159,20.8245
OUFI,-157.164,20.8271
OUFI,-157.165,20.8317
OUFI,-157.16,20.8344
OUFI,-157.159,20.839
OUFI,-157.165,20.8408
OUFI,-157.171,20.8385
OUFI,-157.177,20.8383
OUFI,-157.182,20.8395
OUFI,-157.187,20.8425
OUFI,-157.187,20.8479
OUFI,-157.188,20.8533
OUFI,-157.184,20.8561
OUFI,-157.179,20.8567
OUFI,-157.171,20.8563
OUFI,-157.166,20.8546
OUFI,-157.16,20.8529
OUFI,-157.161,20.8484
OUFI,-157.159,20.8438
OUFI,-157.156,20.848
OUFI,-157.158,20.853
OUFI,-157.164,20.8569
OUFI,-157.168,20.8596
OUFI,-157.173,20.8621
OUFI,-157.175,20.8637
OUFI,-157.177,20.8693
OUFI,-157.187,20.8671
OUFI,-157.192,20.8669
OUFI,-157.201,20.8694
OUFI,-157.206,20.8722
OUFI,-157.207,20.8769
OUFI,-157.208,20.8825
OUFI,-157.203,20.8845
OUFI,-157.199,20.8879
OUFI,-157.206,20.892
OUFI,-157.203,20.8956
OUFI,-157.198,20.8995
OUFI,-157.204,20.9024
OUFI,-157.202,20.9068
OUFI,-157.207,20.909
OUFI,-157.212,20.9119
OUFI,-157.216,20.9153
OUFI,-157.219,20.9191
OUFI,-157.222,20.925
OUFI,-157.219,20.9299
OUFI,-157.219,20.9346
OUFI,-157.215,20.9376
OUFI,-157.208,20.9407
